Gene stable ID	UniProtKB/Swiss-Prot ID
WBGene00000147	O45876
WBGene00000148	
WBGene00000148	Q23316
WBGene00000149	Q10651
WBGene00000150	
WBGene00000151	Q10002
WBGene00000155	O44750
WBGene00000156	Q21227
WBGene00000156	
WBGene00000157	
WBGene00000158	
WBGene00000159	
WBGene00000160	
WBGene00000161	
WBGene00000162	
WBGene00000163	
WBGene00000164	
WBGene00000165	
WBGene00000166	
WBGene00000168	P41990
WBGene00000168	
WBGene00000169	
WBGene00000170	
WBGene00000171	
WBGene00000172	
WBGene00000173	
WBGene00000174	
WBGene00000175	
WBGene00000176	
WBGene00000177	
WBGene00000178	Q09369
WBGene00000179	
WBGene00000180	Q09654
WBGene00000181	
WBGene00000182	Q10943
WBGene00000183	
WBGene00000184	
WBGene00000185	
WBGene00000186	G5EBZ8
WBGene00000187	Q20758
WBGene00000188	O45379
WBGene00000189	P34212
WBGene00000190	Q94231
WBGene00000192	
WBGene00000193	Q18510
WBGene00000195	P51485
WBGene00000196	Q23122
WBGene00000197	O01541
WBGene00000198	Q9N5Y2
WBGene00000199	Q9N4I0
WBGene00000200	P53489
WBGene00000201	
WBGene00000202	
WBGene00000203	Q9XWV3
WBGene00000204	P58798
WBGene00000205	
WBGene00000206	
WBGene00000207	
WBGene00000208	
WBGene00000209	P90921
WBGene00000210	Q18803
WBGene00000211	Q10916
WBGene00000212	Q23498
WBGene00000213	Q9UAY4
WBGene00000213	
WBGene00000214	
WBGene00000215	
WBGene00000216	P55956
WBGene00000217	
WBGene00000218	
WBGene00000219	O01530
WBGene00000220	
WBGene00000221	
WBGene00000222	
WBGene00000223	
WBGene00000224	
WBGene00000225	
WBGene00000226	Q22258
WBGene00000226	
WBGene00000227	Q9N3Q4
WBGene00000228	
WBGene00000229	P46561
WBGene00000230	
WBGene00000231	G5ED29
WBGene00000231	
WBGene00000232	
WBGene00000233	
WBGene00000235	Q03565
WBGene00000236	O44739
WBGene00000237	
WBGene00000238	Q18825
WBGene00000239	
WBGene00000240	P90925
WBGene00000241	Q9NEZ7
WBGene00000242	Q19640
WBGene00000244	Q23049
WBGene00000245	Q22460
WBGene00000246	
WBGene00000247	Q22592
WBGene00000248	
WBGene00000249	G5EFA2
WBGene00000250	G5ECJ5
WBGene00000251	Q09457
WBGene00000252	
WBGene00000253	O61213
WBGene00000254	P51559
WBGene00000255	O62247
WBGene00000256	
WBGene00000257	
WBGene00000259	
WBGene00000262	
WBGene00000263	
WBGene00000264	B6VQ60
WBGene00000265	Q21209
WBGene00000266	Q18801
WBGene00000267	Q6QMT2
WBGene00000267	
WBGene00000268	Q03562
WBGene00000269	Q9GUM2
WBGene00000270	Q95US5
WBGene00000270	
WBGene00000271	
WBGene00000272	
WBGene00000273	
WBGene00000274	
WBGene00000275	Q21776
WBGene00000276	Q20932
WBGene00000277	Q93249
WBGene00000279	Q20781
WBGene00000279	
WBGene00000280	Q18932
WBGene00000281	Q27504
WBGene00000282	
WBGene00000283	Q10462
WBGene00000284	
WBGene00000285	P04630
WBGene00000285	
WBGene00000286	
WBGene00000287	
WBGene00000288	
WBGene00000289	G5EGK5
WBGene00000292	P34685
WBGene00000293	P34686
WBGene00000294	
WBGene00000295	
WBGene00000296	
WBGene00000296	P90986
WBGene00000298	Q19980
WBGene00000301	Q94051
WBGene00000301	
WBGene00000302	Q18879
WBGene00000366	P34545
WBGene00000367	
WBGene00000368	
WBGene00000369	Q17345
WBGene00000370	
WBGene00000371	
WBGene00000372	Q27519
WBGene00000373	
WBGene00000375	Q09660
WBGene00000376	
WBGene00000377	P41988
WBGene00000378	P47207
WBGene00000379	P47208
WBGene00000380	P47209
WBGene00000380	
WBGene00000381	P46550
WBGene00000381	
WBGene00000382	
WBGene00000383	P81299
WBGene00000386	O44552
WBGene00000387	O44628
WBGene00000387	
WBGene00000388	P30634
WBGene00000389	
WBGene00000390	Q05062
WBGene00000391	
WBGene00000392	
WBGene00000393	Q95QW4
WBGene00000393	
WBGene00000395	P34616
WBGene00000396	
WBGene00000397	
WBGene00000399	
WBGene00000401	
WBGene00000402	
WBGene00000403	
WBGene00000405	P34556
WBGene00000406	Q9XTR1
WBGene00000407	G5ECH7
WBGene00000408	G5EFV5
WBGene00000409	P90866
WBGene00000410	Q9TVL3
WBGene00000411	Q09599
WBGene00000412	
WBGene00000413	
WBGene00000414	P34618
WBGene00000415	Q9XWD6
WBGene00000416	Q9NHC3
WBGene00000416	
WBGene00000417	P42573
WBGene00000417	
WBGene00000418	P30429
WBGene00000419	
WBGene00000420	O76337
WBGene00000421	P34358
WBGene00000421	
WBGene00000422	O17386
WBGene00000423	P41958
WBGene00000424	Q03206
WBGene00000425	P34641
WBGene00000426	Q8STE5
WBGene00000426	
WBGene00000427	
WBGene00000428	P53547
WBGene00000429	G5ECT8
WBGene00000430	P20269
WBGene00000431	P20268
WBGene00000432	P20270
WBGene00000433	Q94398
WBGene00000433	
WBGene00000434	P56407
WBGene00000435	P41935
WBGene00000436	P17487
WBGene00000436	
WBGene00000437	P17488
WBGene00000438	P20271
WBGene00000439	P34326
WBGene00000440	
WBGene00000441	P41934
WBGene00000441	
WBGene00000442	P26797
WBGene00000443	P41779
WBGene00000444	Q22811
WBGene00000445	P41936
WBGene00000445	
WBGene00000446	P34663
WBGene00000447	Q9NLC2
WBGene00000448	P34522
WBGene00000449	
WBGene00000450	
WBGene00000451	Q22909
WBGene00000452	Q22910
WBGene00000453	Q23175
WBGene00000454	Q94166
WBGene00000455	Q94165
WBGene00000457	Q93352
WBGene00000458	Q93356
WBGene00000458	
WBGene00000459	Q19720
WBGene00000459	
WBGene00000460	Q22812
WBGene00000461	Q19503
WBGene00000462	
WBGene00000463	Q18273
WBGene00000463	
WBGene00000464	Q9BL02
WBGene00000464	Q8IA98
WBGene00000465	Q17802
WBGene00000466	Q17607
WBGene00000466	
WBGene00000467	Q20646
WBGene00000468	
WBGene00000469	Q94126
WBGene00000472	
WBGene00000473	
WBGene00000474	
WBGene00000475	
WBGene00000476	O02326
WBGene00000477	
WBGene00000478	G5ECQ2
WBGene00000479	Q95YF3
WBGene00000480	Q18905
WBGene00000480	
WBGene00000481	P32756
WBGene00000482	Q22516
WBGene00000483	Q966L8
WBGene00000483	
WBGene00000484	
WBGene00000485	Q19542
WBGene00000487	
WBGene00000488	
WBGene00000490	
WBGene00000491	Q17423
WBGene00000492	Q93833
WBGene00000493	
WBGene00000496	G5ECD6
WBGene00000497	G5EBQ8
WBGene00000497	
WBGene00000498	Q9N3Z3
WBGene00000499	Q9U1Y5
WBGene00000500	
WBGene00000501	O02228
WBGene00000502	
WBGene00000503	Q11174
WBGene00000506	Q9TYP2
WBGene00000507	P34425
WBGene00000508	P34424
WBGene00000509	
WBGene00000510	Q22942
WBGene00000511	P46558
WBGene00000512	P46559
WBGene00000513	P46560
WBGene00000514	
WBGene00000515	
WBGene00000516	Q22197
WBGene00000517	
WBGene00000518	Q3Y416
WBGene00000519	
WBGene00000520	
WBGene00000521	
WBGene00000522	
WBGene00000523	Q11085
WBGene00000524	
WBGene00000525	
WBGene00000526	Q9NGJ7
WBGene00000527	
WBGene00000528	
WBGene00000529	
WBGene00000530	Q9BMK9
WBGene00000530	
WBGene00000531	
WBGene00000532	
WBGene00000533	
WBGene00000534	
WBGene00000535	
WBGene00000536	P48376
WBGene00000537	Q95YE9
WBGene00000539	
WBGene00000540	
WBGene00000541	
WBGene00000542	P34308
WBGene00000543	
WBGene00000544	
WBGene00000545	
WBGene00000546	
WBGene00000547	
WBGene00000548	H2KZM6
WBGene00000548	
WBGene00000549	P32744
WBGene00000549	
WBGene00000550	P34466
WBGene00000551	
WBGene00000552	O16305
WBGene00000552	
WBGene00000553	Q9TXJ0
WBGene00000554	G5EDN6
WBGene00000554	
WBGene00000555	
WBGene00000556	
WBGene00000557	
WBGene00000558	
WBGene00000559	
WBGene00000560	
WBGene00000561	P46581
WBGene00000562	
WBGene00000563	
WBGene00000564	G5EEW9
WBGene00000565	Q9XXH8
WBGene00000565	
WBGene00000566	Q9XX14
WBGene00000566	
WBGene00000567	P34652
WBGene00000567	
WBGene00000583	
WBGene00000584	
WBGene00000585	Q21444
WBGene00000591	
WBGene00000592	
WBGene00000593	P17656
WBGene00000594	
WBGene00000596	P18832
WBGene00000597	P18833
WBGene00000598	
WBGene00000599	Q17460
WBGene00000601	P20630
WBGene00000602	P20631
WBGene00000603	P18834
WBGene00000603	
WBGene00000606	
WBGene00000608	P18835
WBGene00000609	
WBGene00000610	
WBGene00000611	P34687
WBGene00000612	
WBGene00000613	
WBGene00000613	P34803
WBGene00000614	
WBGene00000615	
WBGene00000616	Q09455
WBGene00000617	P34804
WBGene00000618	
WBGene00000620	
WBGene00000621	
WBGene00000622	
WBGene00000623	
WBGene00000624	
WBGene00000625	
WBGene00000626	
WBGene00000627	
WBGene00000628	
WBGene00000629	
WBGene00000630	
WBGene00000631	
WBGene00000632	
WBGene00000633	
WBGene00000634	
WBGene00000636	
WBGene00000637	
WBGene00000638	
WBGene00000639	
WBGene00000640	
WBGene00000641	
WBGene00000644	
WBGene00000645	
WBGene00000646	
WBGene00000647	
WBGene00000648	
WBGene00000649	
WBGene00000650	
WBGene00000651	Q09578
WBGene00000652	
WBGene00000653	
WBGene00000654	
WBGene00000655	Q09233
WBGene00000656	Q09456
WBGene00000657	
WBGene00000658	
WBGene00000659	
WBGene00000660	
WBGene00000661	
WBGene00000662	
WBGene00000663	
WBGene00000664	
WBGene00000665	P34340
WBGene00000666	P34391
WBGene00000667	
WBGene00000668	
WBGene00000669	
WBGene00000670	
WBGene00000671	
WBGene00000672	
WBGene00000673	
WBGene00000674	O76368
WBGene00000674	
WBGene00000675	
WBGene00000676	
WBGene00000677	
WBGene00000678	
WBGene00000679	
WBGene00000680	
WBGene00000681	
WBGene00000682	
WBGene00000683	
WBGene00000684	
WBGene00000685	
WBGene00000687	
WBGene00000688	
WBGene00000689	
WBGene00000690	
WBGene00000691	
WBGene00000692	
WBGene00000693	
WBGene00000694	
WBGene00000695	
WBGene00000696	
WBGene00000697	
WBGene00000698	
WBGene00000699	
WBGene00000700	
WBGene00000701	
WBGene00000702	
WBGene00000703	
WBGene00000704	
WBGene00000705	
WBGene00000706	
WBGene00000707	
WBGene00000708	
WBGene00000710	
WBGene00000711	
WBGene00000712	
WBGene00000713	
WBGene00000714	
WBGene00000715	
WBGene00000716	
WBGene00000717	
WBGene00000718	Q17459
WBGene00000719	
WBGene00000720	
WBGene00000721	
WBGene00000722	
WBGene00000723	
WBGene00000724	
WBGene00000725	
WBGene00000726	
WBGene00000727	
WBGene00000728	Q21184
WBGene00000729	
WBGene00000730	
WBGene00000731	
WBGene00000732	
WBGene00000733	
WBGene00000734	
WBGene00000735	
WBGene00000736	
WBGene00000737	
WBGene00000738	
WBGene00000739	
WBGene00000740	
WBGene00000741	
WBGene00000742	
WBGene00000743	
WBGene00000744	
WBGene00000745	
WBGene00000746	
WBGene00000747	
WBGene00000748	
WBGene00000749	
WBGene00000750	
WBGene00000751	
WBGene00000752	
WBGene00000753	
WBGene00000754	
WBGene00000755	
WBGene00000756	
WBGene00000757	
WBGene00000758	
WBGene00000759	
WBGene00000760	
WBGene00000761	
WBGene00000762	Q8I7J4
WBGene00000763	
WBGene00000764	P91428
WBGene00000765	P34666
WBGene00000766	O01884
WBGene00000767	Q18486
WBGene00000768	Q21624
WBGene00000770	Q03571
WBGene00000771	Q18317
WBGene00000772	O01835
WBGene00000773	
WBGene00000774	
WBGene00000775	
WBGene00000776	
WBGene00000777	
WBGene00000778	
WBGene00000779	
WBGene00000780	
WBGene00000781	P25807
WBGene00000782	
WBGene00000783	P43507
WBGene00000784	P43508
WBGene00000785	P43509
WBGene00000786	P43510
WBGene00000786	
WBGene00000787	Q95NM6
WBGene00000788	
WBGene00000789	
WBGene00000792	
WBGene00000793	
WBGene00000794	Q9N3T2
WBGene00000795	
WBGene00000796	
WBGene00000797	Q10905
WBGene00000798	
WBGene00000799	P34508
WBGene00000800	
WBGene00000802	P27798
WBGene00000803	
WBGene00000804	O45952
WBGene00000812	G5ECJ6
WBGene00000812	
WBGene00000813	Q9GS00
WBGene00000814	O01422
WBGene00000815	Q9N425
WBGene00000816	Q9N359
WBGene00000817	P91001
WBGene00000818	Q95PZ0
WBGene00000818	
WBGene00000819	G5EBM1
WBGene00000820	Q9TZP5
WBGene00000821	G5ECW5
WBGene00000822	
WBGene00000829	P24890
WBGene00000830	O61235
WBGene00000831	Q27487
WBGene00000832	
WBGene00000833	P34575
WBGene00000834	
WBGene00000835	
WBGene00000836	Q17389
WBGene00000837	Q17390
WBGene00000838	Q17391
WBGene00000838	
WBGene00000839	Q17392
WBGene00000840	Q23639
WBGene00000841	Q21346
WBGene00000843	Q93561
WBGene00000845	P34271
WBGene00000846	
WBGene00000851	Q03755
WBGene00000853	
WBGene00000854	
WBGene00000857	P34888
WBGene00000858	P34889
WBGene00000859	
WBGene00000860	
WBGene00000861	
WBGene00000862	
WBGene00000863	P34638
WBGene00000864	
WBGene00000865	Q10653
WBGene00000866	
WBGene00000867	
WBGene00000868	Q10654
WBGene00000869	
WBGene00000870	Q9U2M5
WBGene00000871	O01501
WBGene00000872	
WBGene00000874	Q8WT44
WBGene00000875	
WBGene00000876	
WBGene00000877	P52009
WBGene00000878	P52010
WBGene00000879	P52011
WBGene00000880	P52012
WBGene00000881	P52013
WBGene00000882	P52014
WBGene00000883	P52015
WBGene00000884	P52016
WBGene00000885	Q09637
WBGene00000886	P52017
WBGene00000887	P52018
WBGene00000888	
WBGene00000889	
WBGene00000890	G5EEW6
WBGene00000891	
WBGene00000892	
WBGene00000893	
WBGene00000894	
WBGene00000895	
WBGene00000896	P52872
WBGene00000897	P20792
WBGene00000898	Q968Y9
WBGene00000898	
WBGene00000899	
WBGene00000900	P50488
WBGene00000900	
WBGene00000901	
WBGene00000902	
WBGene00000903	P92172
WBGene00000904	
WBGene00000905	H2KYS3
WBGene00000906	G5EFW7
WBGene00000907	Q8I4N4
WBGene00000907	
WBGene00000908	G5EFF5
WBGene00000910	
WBGene00000911	
WBGene00000912	O16850
WBGene00000912	
WBGene00000913	G5EE01
WBGene00000914	Q09555
WBGene00000914	
WBGene00000915	Q18688
WBGene00000917	Q9N3Q8
WBGene00000920	
WBGene00000923	O61219
WBGene00000928	
WBGene00000929	
WBGene00000930	
WBGene00000931	Q9XVS4
WBGene00000932	
WBGene00000933	
WBGene00000934	Q03614
WBGene00000935	Q20870
WBGene00000936	
WBGene00000937	Q966M6
WBGene00000938	
WBGene00000939	P34529
WBGene00000940	G5EFS4
WBGene00000940	
WBGene00000941	Q9N408
WBGene00000942	P19826
WBGene00000942	
WBGene00000950	P24585
WBGene00000951	P54244
WBGene00000952	Q19038
WBGene00000952	
WBGene00000953	
WBGene00000955	O76554
WBGene00000955	
WBGene00000958	
WBGene00000959	
WBGene00000960	Q03603
WBGene00000961	
WBGene00000962	Q19020
WBGene00000962	
WBGene00000963	Q21773
WBGene00000964	Q18677
WBGene00000965	
WBGene00000966	
WBGene00000967	A5JYX5
WBGene00000968	
WBGene00000969	Q10130
WBGene00000970	
WBGene00000971	
WBGene00000972	
WBGene00000973	
WBGene00000974	
WBGene00000975	
WBGene00000976	
WBGene00000977	
WBGene00000978	
WBGene00000979	O16881
WBGene00000980	
WBGene00000981	
WBGene00000982	
WBGene00000983	
WBGene00000984	Q21929
WBGene00000985	
WBGene00000986	
WBGene00000987	
WBGene00000988	
WBGene00000989	
WBGene00000990	Q11177
WBGene00000991	
WBGene00000992	
WBGene00000993	
WBGene00000994	
WBGene00000995	
WBGene00000996	Q27257
WBGene00000998	Q09165
WBGene00000998	
WBGene00001000	Q18066
WBGene00001001	Q17632
WBGene00001002	Q21625
WBGene00001005	Q22799
WBGene00001006	G5ECY0
WBGene00001007	
WBGene00001008	O01700
WBGene00001008	
WBGene00001016	
WBGene00001017	
WBGene00001018	Q09248
WBGene00001019	Q17438
WBGene00001020	Q17433
WBGene00001021	
WBGene00001022	
WBGene00001023	Q09446
WBGene00001023	
WBGene00001025	
WBGene00001026	
WBGene00001027	
WBGene00001028	Q8TA83
WBGene00001029	
WBGene00001030	
WBGene00001031	
WBGene00001032	
WBGene00001033	
WBGene00001034	
WBGene00001035	
WBGene00001036	
WBGene00001037	
WBGene00001038	Q8MPX3
WBGene00001039	P91454
WBGene00001040	
WBGene00001041	
WBGene00001042	
WBGene00001043	
WBGene00001044	
WBGene00001045	
WBGene00001046	
WBGene00001047	
WBGene00001048	
WBGene00001049	
WBGene00001050	Q10660
WBGene00001051	Q17868
WBGene00001052	
WBGene00001053	
WBGene00001054	Q7JKY3
WBGene00001054	
WBGene00001055	Q18253
WBGene00001056	
WBGene00001057	
WBGene00001058	
WBGene00001059	P34422
WBGene00001060	
WBGene00001061	Q22703
WBGene00001062	
WBGene00001063	
WBGene00001064	P35799
WBGene00001065	
WBGene00001066	
WBGene00001067	P91285
WBGene00001068	
WBGene00001069	P34688
WBGene00001070	
WBGene00001071	
WBGene00001072	P35800
WBGene00001073	
WBGene00001074	P17657
WBGene00001075	
WBGene00001076	
WBGene00001077	Q10576
WBGene00001078	P34413
WBGene00001079	P34807
WBGene00001080	Q9GRZ3
WBGene00001081	Q20497
WBGene00001082	P35603
WBGene00001085	G5EGE9
WBGene00001086	P48996
WBGene00001087	Q9U2M1
WBGene00001088	Q10661
WBGene00001089	Q94251
WBGene00001089	
WBGene00001090	
WBGene00001092	
WBGene00001093	
WBGene00001094	Q03577
WBGene00001095	
WBGene00001096	Q93246
WBGene00001099	
WBGene00001101	
WBGene00001102	
WBGene00001103	
WBGene00001104	
WBGene00001105	
WBGene00001106	
WBGene00001107	
WBGene00001108	
WBGene00001109	
WBGene00001110	
WBGene00001112	
WBGene00001113	
WBGene00001115	Q9Y048
WBGene00001115	
WBGene00001116	Q8STF6
WBGene00001117	Q8I7G4
WBGene00001118	G5ECZ4
WBGene00001119	Q6I6D4
WBGene00001121	B3WFY8
WBGene00001122	Q0G838
WBGene00001123	Q09276
WBGene00001127	
WBGene00001129	Q95QT8
WBGene00001130	P39055
WBGene00001131	Q9TW65
WBGene00001131	
WBGene00001132	
WBGene00001133	Q9U298
WBGene00001134	
WBGene00001135	P34644
WBGene00001135	
WBGene00001136	Q27295
WBGene00001137	
WBGene00001145	
WBGene00001147	
WBGene00001148	Q9NL29
WBGene00001149	P54688
WBGene00001150	
WBGene00001151	
WBGene00001152	
WBGene00001153	
WBGene00001154	
WBGene00001155	P34559
WBGene00001156	
WBGene00001157	
WBGene00001158	
WBGene00001159	
WBGene00001160	O01991
WBGene00001161	
WBGene00001162	
WBGene00001163	
WBGene00001164	
WBGene00001165	O44516
WBGene00001166	
WBGene00001167	P29691
WBGene00001168	P53013
WBGene00001169	P53013
WBGene00001169	
WBGene00001170	O61667
WBGene00001171	
WBGene00001172	G5ECN9
WBGene00001173	O76360
WBGene00001173	
WBGene00001174	P17486
WBGene00001175	
WBGene00001177	G5EBH0
WBGene00001177	
WBGene00001178	G5EBV0
WBGene00001179	P49809
WBGene00001179	
WBGene00001182	Q23045
WBGene00001182	
WBGene00001184	Q10656
WBGene00001184	
WBGene00001185	
WBGene00001186	
WBGene00001187	
WBGene00001188	
WBGene00001189	O17754
WBGene00001190	
WBGene00001193	
WBGene00001194	Q09228
WBGene00001194	
WBGene00001196	
WBGene00001202	G5EFC3
WBGene00001204	
WBGene00001207	
WBGene00001208	Q19849
WBGene00001208	
WBGene00001209	P34339
WBGene00001210	
WBGene00001211	
WBGene00001214	
WBGene00001215	
WBGene00001223	
WBGene00001224	
WBGene00001225	Q9XWI6
WBGene00001226	O02328
WBGene00001227	P30642
WBGene00001228	O61820
WBGene00001229	Q18967
WBGene00001230	Q19706
WBGene00001231	O01974
WBGene00001232	Q965S8
WBGene00001232	
WBGene00001233	Q9XUP3
WBGene00001234	O62106
WBGene00001235	
WBGene00001236	
WBGene00001237	
WBGene00001239	
WBGene00001240	
WBGene00001241	P49191
WBGene00001242	Q03574
WBGene00001243	Q20300
WBGene00001244	Q20303
WBGene00001245	
WBGene00001246	
WBGene00001247	
WBGene00001248	O45487
WBGene00001248	
WBGene00001249	
WBGene00001249	P28515
WBGene00001250	Q10655
WBGene00001251	
WBGene00001252	
WBGene00001253	
WBGene00001258	
WBGene00001259	P34703
WBGene00001262	
WBGene00001263	P17139
WBGene00001281	G5EG38
WBGene00001284	P34441
WBGene00001303	Q19967
WBGene00001309	O01971
WBGene00001310	
WBGene00001311	
WBGene00001320	
WBGene00001324	
WBGene00001325	
WBGene00001328	
WBGene00001328	Q21313
WBGene00001329	
WBGene00001330	
WBGene00001331	P48583
WBGene00001332	O44406
WBGene00001332	
WBGene00001333	
WBGene00001334	Q7YTU4
WBGene00001334	
WBGene00001335	
WBGene00001336	O62431
WBGene00001336	
WBGene00001337	
WBGene00001338	
WBGene00001340	
WBGene00001345	G5ECG2
WBGene00001352	
WBGene00001358	Q19705
WBGene00001362	
WBGene00001365	Q8WQA4
WBGene00001366	
WBGene00001368	
WBGene00001371	O45405
WBGene00001372	
WBGene00001373	G5ECJ0
WBGene00001374	
WBGene00001377	O17670
WBGene00001385	P34382
WBGene00001385	
WBGene00001386	P34383
WBGene00001387	
WBGene00001388	
WBGene00001389	
WBGene00001390	
WBGene00001391	
WBGene00001392	
WBGene00001393	Q9NEQ0
WBGene00001394	G5EGA5
WBGene00001394	
WBGene00001395	Q23221
WBGene00001395	
WBGene00001396	G5EG11
WBGene00001397	G5ED44
WBGene00001398	G5EGN2
WBGene00001399	G5EGH6
WBGene00001400	
WBGene00001401	Q9N5M6
WBGene00001402	Q09312
WBGene00001403	O77469
WBGene00001403	
WBGene00001404	
WBGene00001405	Q9XVE5
WBGene00001406	G5EEP3
WBGene00001410	Q9BKZ9
WBGene00001410	
WBGene00001411	P17221
WBGene00001412	P49594
WBGene00001413	P34691
WBGene00001413	
WBGene00001414	Q17388
WBGene00001414	
WBGene00001423	Q22053
WBGene00001424	
WBGene00001425	
WBGene00001426	
WBGene00001427	
WBGene00001428	
WBGene00001429	
WBGene00001430	
WBGene00001431	
WBGene00001432	
WBGene00001433	
WBGene00001434	
WBGene00001435	
WBGene00001436	
WBGene00001437	Q19802
WBGene00001438	
WBGene00001439	
WBGene00001440	
WBGene00001441	
WBGene00001442	
WBGene00001443	P34268
WBGene00001444	P41855
WBGene00001445	
WBGene00001446	Q23212
WBGene00001447	
WBGene00001448	O61466
WBGene00001449	Q19165
WBGene00001450	G5EEC2
WBGene00001451	
WBGene00001452	Q18502
WBGene00001453	
WBGene00001454	Q21156
WBGene00001455	
WBGene00001456	O44185
WBGene00001457	Q9XWV7
WBGene00001458	
WBGene00001459	Q7YX32
WBGene00001460	
WBGene00001461	Q9N4V0
WBGene00001462	Q9XVX1
WBGene00001463	
WBGene00001464	
WBGene00001465	
WBGene00001466	
WBGene00001468	Q9NLA1
WBGene00001470	
WBGene00001475	
WBGene00001476	
WBGene00001477	
WBGene00001478	
WBGene00001479	
WBGene00001480	
WBGene00001481	
WBGene00001482	
WBGene00001483	
WBGene00001484	Q10572
WBGene00001484	
WBGene00001485	
WBGene00001486	Q9TY03
WBGene00001487	Q22146
WBGene00001488	
WBGene00001489	
WBGene00001490	
WBGene00001491	
WBGene00001492	
WBGene00001493	
WBGene00001494	
WBGene00001495	
WBGene00001496	
WBGene00001497	
WBGene00001498	Q19713
WBGene00001499	Q18223
WBGene00001500	
WBGene00001501	
WBGene00001502	Q20655
WBGene00001502	
WBGene00001503	O17214
WBGene00001503	
WBGene00001505	G5EDR5
WBGene00001506	P91200
WBGene00001507	
WBGene00001508	G5EFE7
WBGene00001509	Q23424
WBGene00001510	
WBGene00001511	Q09373
WBGene00001512	O18276
WBGene00001513	O16519
WBGene00001514	
WBGene00001515	Q22720
WBGene00001516	Q8MLZ5
WBGene00001517	Q18007
WBGene00001518	Q09388
WBGene00001518	
WBGene00001519	Q9U7D5
WBGene00001520	Q93873
WBGene00001522	Q19000
WBGene00001523	
WBGene00001526	H2L099
WBGene00001526	
WBGene00001527	Q20117
WBGene00001528	Q09435
WBGene00001529	Q10029
WBGene00001530	Q10028
WBGene00001531	Q23681
WBGene00001532	Q23682
WBGene00001533	N1NVB7
WBGene00001534	H2L002
WBGene00001535	Q9GYQ4
WBGene00001536	E7EAU8
WBGene00001537	Q18331
WBGene00001538	Q19187
WBGene00001539	Q19768
WBGene00001540	Q23310
WBGene00001541	P91550
WBGene00001542	X5M8U1
WBGene00001543	G5EFQ0
WBGene00001544	
WBGene00001545	O62179
WBGene00001546	O16715
WBGene00001547	Q9XTY1
WBGene00001548	G5EEE9
WBGene00001549	A0A078BQP2
WBGene00001550	Q9XU42
WBGene00001551	Q86C56
WBGene00001551	
WBGene00001552	Q6DNF7
WBGene00001553	P90895
WBGene00001553	
WBGene00001554	P92006
