Gene stable ID	Human gene stable ID	Human orthology confidence [0 low, 1 high]
FBgn0045866	ENSG00000170348	1
FBgn0000108	ENSG00000142192	0
FBgn0000108	ENSG00000105290	0
FBgn0000108	ENSG00000084234	0
FBgn0266595		
FBgn0036660	ENSG00000168411	0
FBgn0266377	ENSG00000128655	0
FBgn0266377	ENSG00000284741	0
FBgn0266377	ENSG00000172572	0
FBgn0266377	ENSG00000123360	0
FBgn0266377	ENSG00000065989	0
FBgn0266377	ENSG00000154678	0
FBgn0266377	ENSG00000205268	0
FBgn0266377	ENSG00000095464	0
FBgn0266377	ENSG00000284762	0
FBgn0266377	ENSG00000113231	0
FBgn0266377	ENSG00000138735	0
FBgn0266377	ENSG00000285188	0
FBgn0266377	ENSG00000105650	0
FBgn0266377	ENSG00000152270	0
FBgn0266377	ENSG00000171408	0
FBgn0266377	ENSG00000132915	0
FBgn0266377	ENSG00000113448	0
FBgn0266377	ENSG00000073417	0
FBgn0266377	ENSG00000133256	0
FBgn0035955		
FBgn0035279		
FBgn0027109		
FBgn0037633		
FBgn0028539	ENSG00000167972	0
FBgn0028539	ENSG00000179869	0
FBgn0028539	ENSG00000154263	0
FBgn0028539	ENSG00000064687	0
FBgn0028539	ENSG00000154265	0
FBgn0028539	ENSG00000141338	0
FBgn0028539	ENSG00000165029	0
FBgn0028539	ENSG00000144452	0
FBgn0028539	ENSG00000154262	0
FBgn0028539	ENSG00000107331	0
FBgn0028539	ENSG00000198691	0
FBgn0028539	ENSG00000154258	0
FBgn0267171		
FBgn0040228	ENSG00000166847	1
FBgn0250754		
FBgn0038238		
FBgn0040334		
FBgn0036010		
FBgn0037818	ENSG00000243989	1
FBgn0037818	ENSG00000114786	1
FBgn0025885	ENSG00000105655	1
FBgn0267802		
FBgn0039476	ENSG00000203837	0
FBgn0039476	ENSG00000101670	0
FBgn0039476	ENSG00000175445	0
FBgn0039476	ENSG00000188992	0
FBgn0039476	ENSG00000175535	0
FBgn0039476	ENSG00000166035	0
FBgn0039476	ENSG00000163898	0
FBgn0039476	ENSG00000187021	0
FBgn0039476	ENSG00000144837	0
FBgn0039476	ENSG00000266200	0
FBgn0043841		
FBgn0037517	ENSG00000205784	0
FBgn0039437		
FBgn0032689	ENSG00000124140	0
FBgn0032689	ENSG00000074803	0
FBgn0032689	ENSG00000064651	0
FBgn0032689	ENSG00000140199	0
FBgn0032689	ENSG00000113504	0
FBgn0032689	ENSG00000070915	0
FBgn0032689	ENSG00000146828	0
FBgn0032689	ENSG00000124067	0
FBgn0266001		
FBgn0037460		
FBgn0033737	ENSG00000138750	1
FBgn0052208		
FBgn0036665		
FBgn0033076		
FBgn0085205		
FBgn0267439		
FBgn0035496	ENSG00000116176	0
FBgn0035496	ENSG00000095917	0
FBgn0035496	ENSG00000172236	0
FBgn0035496	ENSG00000197253	0
FBgn0030722		
FBgn0029813		
FBgn0036056		
FBgn0038567		
FBgn0037653		
FBgn0262476		
FBgn0037391	ENSG00000172432	1
FBgn0051822		
FBgn0053192		
FBgn0031091	ENSG00000136147	0
FBgn0031091	ENSG00000092140	0
FBgn0031091	ENSG00000010318	0
FBgn0031091	ENSG00000156531	0
FBgn0004841	ENSG00000075073	0
FBgn0265851		
FBgn0039958		
FBgn0039381	ENSG00000157837	1
FBgn0000158		
FBgn0029941	ENSG00000158545	0
FBgn0051760		
FBgn0032536		
FBgn0034691	ENSG00000159082	0
FBgn0034691	ENSG00000198825	0
FBgn0034691	ENSG00000132376	0
FBgn0034691	ENSG00000198574	0
FBgn0034691	ENSG00000183918	0
FBgn0034691	ENSG00000168918	0
FBgn0034691	ENSG00000185133	0
FBgn0034691	ENSG00000122126	0
FBgn0034691	ENSG00000078269	0
FBgn0034691	ENSG00000165458	0
FBgn0000414	ENSG00000008735	0
FBgn0000414	ENSG00000153071	0
FBgn0000414	ENSG00000198929	0
FBgn0000414	ENSG00000239887	0
FBgn0000414	ENSG00000105245	0
FBgn0000414	ENSG00000121653	0
FBgn0000414	ENSG00000185112	0
FBgn0000414	ENSG00000157978	0
FBgn0000414	ENSG00000183114	0
FBgn0000414	ENSG00000173406	0
FBgn0035851	ENSG00000008838	1
FBgn0040076	ENSG00000143727	0
FBgn0263038	ENSG00000133110	0
FBgn0263038	ENSG00000120708	0
FBgn0011957		
FBgn0043539		
FBgn0035600	ENSG00000179091	1
FBgn0265597		
FBgn0284243	ENSG00000188229	0
FBgn0003028	ENSG00000172818	0
FBgn0028855		
FBgn0011672		
FBgn0265740		
FBgn0265468		
FBgn0039936	ENSG00000146830	0
FBgn0039936	ENSG00000204120	0
FBgn0266895		
FBgn0024897		
FBgn0053556	ENSG00000198173	0
FBgn0053556	ENSG00000185448	0
FBgn0053556	ENSG00000189132	0
FBgn0053556	ENSG00000155816	0
FBgn0267099		
FBgn0266398		
FBgn0032669		
FBgn0264260		
FBgn0262816		
FBgn0083960	ENSG00000206530	0
FBgn0036740	ENSG00000086065	1
FBgn0262291		
FBgn0039616	ENSG00000178467	0
FBgn0039616	ENSG00000149380	0
FBgn0030196	ENSG00000181938	0
FBgn0037877		
FBgn0035143	ENSG00000155367	0
FBgn0035143	ENSG00000183977	0
FBgn0035143	ENSG00000100034	0
FBgn0035143	ENSG00000172840	0
FBgn0035143	ENSG00000164088	0
FBgn0035143	ENSG00000213889	0
FBgn0035143	ENSG00000111110	0
FBgn0266203		
FBgn0051677		
FBgn0032296	ENSG00000167447	1
FBgn0032296	ENSG00000265303	0
FBgn0267390	ENSG00000104936	0
FBgn0267390	ENSG00000268434	0
FBgn0267390	ENSG00000150457	0
FBgn0267390	ENSG00000086015	0
FBgn0267390	ENSG00000069020	0
FBgn0267390	ENSG00000099308	0
FBgn0267390	ENSG00000118515	0
FBgn0267390	ENSG00000152953	0
FBgn0267390	ENSG00000169302	0
FBgn0267390	ENSG00000105613	0
FBgn0267390	ENSG00000165752	0
FBgn0261501		
FBgn0082980		
FBgn0261624	ENSG00000204619	0
FBgn0083973		
FBgn0032054	ENSG00000124217	1
FBgn0052344	ENSG00000123064	1
FBgn0267645		
FBgn0267710		
FBgn0011740	ENSG00000196547	1
FBgn0011740	ENSG00000112893	1
FBgn0031972	ENSG00000186153	1
FBgn0038233	ENSG00000115317	1
FBgn0260959	ENSG00000147316	0
FBgn0032313		
FBgn0024320	ENSG00000141458	1
FBgn0050349		
FBgn0032251	ENSG00000255150	0
FBgn0266624		
FBgn0037231	ENSG00000249884	1
FBgn0037231	ENSG00000115561	1
FBgn0036591		
FBgn0265509		
FBgn0052461		
FBgn0030057	ENSG00000131238	1
FBgn0034246		
FBgn0262877		
FBgn0036483	ENSG00000188895	0
FBgn0002873		
FBgn0026869	ENSG00000139372	0
FBgn0035986	ENSG00000150773	0
FBgn0040285	ENSG00000116521	0
FBgn0040285	ENSG00000198794	0
FBgn0040285	ENSG00000140497	0
FBgn0040285	ENSG00000227500	0
FBgn0040285	ENSG00000085365	0
FBgn0051631		
FBgn0033339	ENSG00000075826	1
FBgn0033339	ENSG00000138674	1
FBgn0031343		
FBgn0034871		
FBgn0032020	ENSG00000183155	1
FBgn0001254		
FBgn0267881		
FBgn0014949	ENSG00000106511	0
FBgn0014949	ENSG00000005102	1
FBgn0263110		
FBgn0052440		
FBgn0267224		
FBgn0286198	ENSG00000008311	1
FBgn0019936	ENSG00000008988	1
FBgn0036979		
FBgn0085810		
FBgn0035213	ENSG00000197841	0
FBgn0035213	ENSG00000089335	0
FBgn0035213	ENSG00000174586	0
FBgn0035213	ENSG00000189420	0
FBgn0035213	ENSG00000196247	0
FBgn0035213	ENSG00000180035	0
FBgn0035213	ENSG00000160321	0
FBgn0035213	ENSG00000197937	0
FBgn0035213	ENSG00000096654	0
FBgn0035213	ENSG00000170949	0
FBgn0035213	ENSG00000197497	0
FBgn0035213	ENSG00000169951	0
FBgn0035213	ENSG00000261459	0
FBgn0035213	ENSG00000169955	0
FBgn0035213	ENSG00000156853	0
FBgn0035213	ENSG00000198040	0
FBgn0035213	ENSG00000197162	0
FBgn0035213	ENSG00000269237	0
FBgn0035213	ENSG00000213973	0
FBgn0035213	ENSG00000196350	0
FBgn0035213	ENSG00000229809	0
FBgn0035213	ENSG00000167232	0
FBgn0267201		
FBgn0037005	ENSG00000148110	0
FBgn0037005	ENSG00000196312	0
FBgn0037005	ENSG00000156875	0
FBgn0037005	ENSG00000283761	0
FBgn0037005	ENSG00000109736	0
FBgn0051514		
FBgn0261841		
FBgn0037359	ENSG00000160563	1
FBgn0032782		
FBgn0039770	ENSG00000145708	0
FBgn0265070		
FBgn0038069	ENSG00000182333	0
FBgn0038069	ENSG00000107798	0
FBgn0038069	ENSG00000173239	0
FBgn0038069	ENSG00000204021	0
FBgn0038069	ENSG00000204022	0
FBgn0038069	ENSG00000204020	0
FBgn0033179	ENSG00000215114	1
FBgn0033179	ENSG00000173960	0
FBgn0033179	ENSG00000088833	1
FBgn0003356		
FBgn0032228	ENSG00000137251	0
FBgn0032228	ENSG00000136943	0
FBgn0032228	ENSG00000135047	0
FBgn0032228	ENSG00000174080	0
FBgn0260955		
FBgn0031857	ENSG00000092098	0
FBgn0031857	ENSG00000259529	0
FBgn0004108		
FBgn0037824		
FBgn0031655		
FBgn0036294	ENSG00000197841	0
FBgn0036294	ENSG00000089335	0
FBgn0036294	ENSG00000174586	0
FBgn0036294	ENSG00000189420	0
FBgn0036294	ENSG00000196247	0
FBgn0036294	ENSG00000170265	0
FBgn0036294	ENSG00000180035	0
FBgn0036294	ENSG00000160321	0
FBgn0036294	ENSG00000197937	0
FBgn0036294	ENSG00000096654	0
FBgn0036294	ENSG00000170949	0
FBgn0036294	ENSG00000197497	0
FBgn0036294	ENSG00000169951	0
FBgn0036294	ENSG00000261459	0
FBgn0036294	ENSG00000169955	0
FBgn0036294	ENSG00000156853	0
FBgn0036294	ENSG00000198040	0
FBgn0036294	ENSG00000197162	0
FBgn0036294	ENSG00000269237	0
FBgn0036294	ENSG00000213973	0
FBgn0036294	ENSG00000196350	0
FBgn0036294	ENSG00000229809	0
FBgn0036294	ENSG00000167232	0
FBgn0028644		
FBgn0261857		
FBgn0010441	ENSG00000184216	0
FBgn0010441	ENSG00000134070	0
FBgn0010441	ENSG00000090376	0
FBgn0039099		
FBgn0035237		
FBgn0038132		
FBgn0038659	ENSG00000140600	1
FBgn0038316		
FBgn0265586		
FBgn0030390		
FBgn0263559		
FBgn0030905		
FBgn0038941		
FBgn0036532		
FBgn0034745	ENSG00000243710	0
FBgn0034774	ENSG00000100314	0
FBgn0034774	ENSG00000167791	0
FBgn0034774	ENSG00000147400	0
FBgn0034774	ENSG00000157782	0
FBgn0034774	ENSG00000175544	0
FBgn0034774	ENSG00000178372	0
FBgn0034774	ENSG00000172421	0
FBgn0034774	ENSG00000105507	0
FBgn0034774	ENSG00000183166	0
FBgn0034774	ENSG00000172771	0
FBgn0285954	ENSG00000182944	0
FBgn0285954	ENSG00000270647	0
FBgn0038816		
FBgn0033638		
FBgn0031564		
FBgn0261807		
FBgn0087021		
FBgn0263744		
FBgn0267214		
FBgn0036498		
FBgn0038960	ENSG00000164675	0
FBgn0029503	ENSG00000147166	1
FBgn0033550	ENSG00000205269	0
FBgn0033550	ENSG00000166822	0
FBgn0033550	ENSG00000261717	0
FBgn0043578	ENSG00000159527	0
FBgn0043578	ENSG00000161031	0
FBgn0043578	ENSG00000008438	0
FBgn0043578	ENSG00000163218	0
FBgn0263216		
FBgn0033184	ENSG00000103342	0
FBgn0033184	ENSG00000189369	0
FBgn0033184	ENSG00000101210	0
FBgn0033184	ENSG00000156508	0
FBgn0033184	ENSG00000130741	0
FBgn0033184	ENSG00000180574	0
FBgn0267461		
FBgn0264469		
FBgn0038183	ENSG00000107949	1
FBgn0030439		
FBgn0051575		
FBgn0035476	ENSG00000227471	0
FBgn0053395		
FBgn0051251	ENSG00000015676	1
FBgn0039145		
FBgn0030323	ENSG00000145781	0
FBgn0037506	ENSG00000165678	1
FBgn0040389	ENSG00000180992	1
FBgn0033526	ENSG00000159259	1
FBgn0039743		
FBgn0263399		
FBgn0030710		
FBgn0034735	ENSG00000135297	0
FBgn0267765		
FBgn0036640		
FBgn0259745		
FBgn0024814	ENSG00000175416	0
FBgn0024814	ENSG00000122705	0
FBgn0028950		
FBgn0036790	ENSG00000181408	0
FBgn0036790	ENSG00000116014	0
FBgn0086074		
FBgn0084049		
FBgn0031659	ENSG00000198954	1
FBgn0053447		
FBgn0053557	ENSG00000146618	0
FBgn0053557	ENSG00000261787	0
FBgn0053557	ENSG00000260428	0
FBgn0053557	ENSG00000178860	0
FBgn0053557	ENSG00000122691	0
FBgn0053557	ENSG00000113196	0
FBgn0053557	ENSG00000125878	0
FBgn0053557	ENSG00000164107	0
FBgn0053557	ENSG00000205899	0
FBgn0053557	ENSG00000163792	0
FBgn0053557	ENSG00000118526	0
FBgn0053557	ENSG00000233608	0
FBgn0261560	ENSG00000243056	0
FBgn0261560	ENSG00000148730	0
FBgn0261560	ENSG00000187840	0
FBgn0028941		
FBgn0031715		
FBgn0027509	ENSG00000141556	1
FBgn0032775		
FBgn0038011		
FBgn0053317		
FBgn0003525	ENSG00000164045	0
FBgn0259851		
FBgn0038195	ENSG00000172404	0
FBgn0038195	ENSG00000179407	0
FBgn0038195	ENSG00000105993	0
FBgn0038195	ENSG00000164031	0
FBgn0038195	ENSG00000132002	0
FBgn0038195	ENSG00000135924	0
FBgn0038195	ENSG00000148719	0
FBgn0261341		
FBgn0030960	ENSG00000123395	1
FBgn0028292	ENSG00000177963	1
FBgn0028292	ENSG00000111785	1
FBgn0275434		
FBgn0086044		
FBgn0039009	ENSG00000135637	0
FBgn0035631	ENSG00000091164	1
FBgn0036474		
FBgn0085366		
FBgn0030340		
FBgn0038009		
FBgn0083015		
FBgn0015546	ENSG00000095002	1
FBgn0000566	ENSG00000116761	1
FBgn0262237		
FBgn0031189	ENSG00000145331	1
FBgn0016059		
FBgn0023170		
FBgn0040290	ENSG00000160957	0
FBgn0085831		
FBgn0266888		
FBgn0024329		
FBgn0264347		
FBgn0030992		
FBgn0267435		
FBgn0001301	ENSG00000117153	0
FBgn0265369		
FBgn0002734	ENSG00000187821	0
FBgn0002734	ENSG00000188290	0
FBgn0002734	ENSG00000163909	0
FBgn0002734	ENSG00000197921	0
FBgn0002734	ENSG00000134107	0
FBgn0002734	ENSG00000114315	0
FBgn0002734	ENSG00000164683	0
FBgn0002734	ENSG00000069812	0
FBgn0002734	ENSG00000123095	0
FBgn0002734	ENSG00000179111	0
FBgn0002734	ENSG00000144485	0
FBgn0002734	ENSG00000173673	0
FBgn0002734	ENSG00000135547	0
FBgn0034483	ENSG00000166971	0
FBgn0032375		
FBgn0266748		
FBgn0266804		
FBgn0032391	ENSG00000074266	1
FBgn0085523		
FBgn0260234		
FBgn0023550	ENSG00000197601	1
FBgn0023550	ENSG00000064763	1
FBgn0265840		
FBgn0284416		
FBgn0013342		
FBgn0026149	ENSG00000099385	0
FBgn0026149	ENSG00000106635	0
FBgn0026149	ENSG00000110987	1
FBgn0002629		
FBgn0261639		
FBgn0002645		
FBgn0029891	ENSG00000158828	0
FBgn0010217		
FBgn0037590		
FBgn0051806		
FBgn0011020	ENSG00000166984	0
FBgn0011020	ENSG00000242220	0
FBgn0011020	ENSG00000203690	0
FBgn0011020	ENSG00000151849	0
FBgn0265413		
FBgn0267717		
FBgn0038944		
FBgn0083035		
FBgn0034314		
FBgn0037936		
FBgn0034821	ENSG00000116132	1
FBgn0037834	ENSG00000111218	1
FBgn0085391		
FBgn0028889		
FBgn0033692	ENSG00000181404	1
FBgn0267141		
FBgn0265658		
FBgn0031872		
FBgn0032768		
FBgn0086066		
FBgn0265829		
FBgn0032682		
FBgn0054005		
FBgn0267110		
FBgn0015222		
FBgn0052183	ENSG00000136999	0
FBgn0052183	ENSG00000104415	0
FBgn0052183	ENSG00000064205	0
FBgn0052183	ENSG00000112761	0
FBgn0052183	ENSG00000118523	0
FBgn0052183	ENSG00000142871	0
FBgn0035207		
FBgn0267648		
FBgn0266084		
FBgn0045759		
FBgn0037174		
FBgn0267910		
FBgn0030314	ENSG00000261221	0
FBgn0030314	ENSG00000178175	0
FBgn0030314	ENSG00000140548	0
FBgn0030314	ENSG00000170260	0
FBgn0030314	ENSG00000198046	0
FBgn0030314	ENSG00000182983	0
FBgn0030314	ENSG00000204946	0
FBgn0030314	ENSG00000083814	0
FBgn0036099	ENSG00000143774	1
FBgn0267612		
FBgn0030538		
FBgn0086063		
FBgn0034722		
FBgn0030966	ENSG00000139531	1
FBgn0053203	ENSG00000162073	0
FBgn0050234		
FBgn0037831		
FBgn0029133	ENSG00000131467	1
FBgn0029133	ENSG00000092010	1
FBgn0029133	ENSG00000100911	1
FBgn0262893		
FBgn0035247		
FBgn0052409	ENSG00000179041	1
FBgn0010213	ENSG00000112096	1
FBgn0010213	ENSG00000285441	1
FBgn0267951		
FBgn0039485		
FBgn0032692	ENSG00000118096	0
FBgn0028686	ENSG00000013275	1
FBgn0038819		
FBgn0265498		
FBgn0030540		
FBgn0037662		
FBgn0002021	ENSG00000166793	0
FBgn0002021	ENSG00000100027	0
FBgn0002021	ENSG00000090857	0
FBgn0002021	ENSG00000110074	0
FBgn0032225	ENSG00000115109	0
FBgn0032225	ENSG00000095203	0
FBgn0032225	ENSG00000159023	0
FBgn0032225	ENSG00000172159	0
FBgn0032225	ENSG00000129595	0
FBgn0032225	ENSG00000082397	0
FBgn0032225	ENSG00000171877	0
FBgn0032225	ENSG00000079819	0
FBgn0032225	ENSG00000139926	0
FBgn0032225	ENSG00000088367	0
FBgn0030744		
FBgn0267422		
FBgn0037708	ENSG00000155275	0
FBgn0264901		
FBgn0035524	ENSG00000113460	1
FBgn0038511	ENSG00000121053	0
FBgn0038511	ENSG00000130508	0
FBgn0038511	ENSG00000147485	0
FBgn0038511	ENSG00000167419	0
FBgn0038511	ENSG00000005381	0
FBgn0083037		
FBgn0015245	ENSG00000144381	1
FBgn0065092		
FBgn0031858	ENSG00000135709	0
FBgn0038114		
FBgn0028669	ENSG00000185344	1
FBgn0028669	ENSG00000110719	1
FBgn0266946		
FBgn0264776		
FBgn0030613	ENSG00000110514	1
FBgn0004511		
FBgn0033192		
FBgn0036859		
FBgn0259189	ENSG00000116032	0
FBgn0259189	ENSG00000149403	0
FBgn0259189	ENSG00000152578	0
FBgn0259189	ENSG00000182771	0
FBgn0259189	ENSG00000161509	0
FBgn0259189	ENSG00000198785	0
FBgn0259189	ENSG00000164418	0
FBgn0259189	ENSG00000171189	0
FBgn0259189	ENSG00000155511	0
FBgn0259189	ENSG00000120251	0
FBgn0259189	ENSG00000273079	0
FBgn0259189	ENSG00000152208	0
FBgn0259189	ENSG00000105464	0
FBgn0259189	ENSG00000125675	0
FBgn0259189	ENSG00000183454	0
FBgn0259189	ENSG00000163873	0
FBgn0259189	ENSG00000105737	0
FBgn0002936		
FBgn0260954		
FBgn0034274	ENSG00000196363	1
FBgn0034274	ENSG00000196981	1
FBgn0035643	ENSG00000152784	0
FBgn0035643	ENSG00000265763	0
FBgn0036273	ENSG00000148384	1
FBgn0265701		
FBgn0031109		
FBgn0035005		
FBgn0027582	ENSG00000105726	1
FBgn0267536		
FBgn0003687		
FBgn0263494		
FBgn0262355		
FBgn0267036		
FBgn0039696	ENSG00000140691	0
FBgn0011960		
FBgn0266143		
FBgn0267508		
FBgn0085424		
FBgn0267072		
FBgn0263445		
FBgn0051139	ENSG00000163389	1
FBgn0262008	ENSG00000109667	0
FBgn0262008	ENSG00000163581	0
FBgn0262008	ENSG00000197241	0
FBgn0262008	ENSG00000181856	0
FBgn0262008	ENSG00000146411	0
FBgn0262008	ENSG00000251357	0
FBgn0262008	ENSG00000133460	0
FBgn0262008	ENSG00000059804	0
FBgn0262008	ENSG00000173262	0
FBgn0262008	ENSG00000197496	0
FBgn0262008	ENSG00000160326	0
FBgn0262008	ENSG00000117394	0
FBgn0266699		
FBgn0039205	ENSG00000165898	1
FBgn0286035		
FBgn0266944		
FBgn0032444	ENSG00000115484	1
FBgn0265147		
FBgn0029863	ENSG00000140522	0
FBgn0029863	ENSG00000177182	0
FBgn0029863	ENSG00000146352	0
FBgn0267615		
FBgn0039883	ENSG00000097096	0
FBgn0039883	ENSG00000105137	0
FBgn0262852		
FBgn0267913		
FBgn0037126		
FBgn0020617		
FBgn0032602	ENSG00000168447	0
FBgn0032602	ENSG00000072182	0
FBgn0032602	ENSG00000162572	0
FBgn0032602	ENSG00000111319	0
FBgn0032602	ENSG00000108684	0
FBgn0032602	ENSG00000166828	0
FBgn0032602	ENSG00000213199	0
FBgn0032602	ENSG00000110881	0
FBgn0266253		
FBgn0038439		
FBgn0025874	ENSG00000196456	0
FBgn0050486	ENSG00000173401	0
FBgn0050486	ENSG00000096006	0
FBgn0266029		
FBgn0032519	ENSG00000101856	0
FBgn0032519	ENSG00000164040	0
FBgn0030389		
FBgn0266907		
FBgn0082946		
FBgn0030122	ENSG00000094914	1
FBgn0032004		
FBgn0039844	ENSG00000099960	0
FBgn0039844	ENSG00000164893	0
FBgn0039844	ENSG00000165349	0
FBgn0039844	ENSG00000103064	0
FBgn0039844	ENSG00000103257	0
FBgn0039844	ENSG00000155465	0
FBgn0039844	ENSG00000139514	0
FBgn0039844	ENSG00000151012	0
FBgn0039844	ENSG00000003989	0
FBgn0039844	ENSG00000092068	0
FBgn0039844	ENSG00000130876	0
FBgn0039844	ENSG00000021488	0
FBgn0031959		
FBgn0037044	ENSG00000164494	1
FBgn0264376		
FBgn0031114	ENSG00000105298	0
FBgn0265921		
FBgn0259870		
FBgn0032705		
FBgn0267529		
FBgn0035176		
FBgn0039529		
FBgn0036112		
FBgn0266628		
FBgn0027330	ENSG00000135372	1
FBgn0032925	ENSG00000188976	1
FBgn0067628	ENSG00000144559	1
FBgn0052580		
FBgn0263072		
FBgn0259168	ENSG00000157540	0
FBgn0259168	ENSG00000113240	0
FBgn0259168	ENSG00000105204	0
FBgn0259168	ENSG00000143479	0
FBgn0259168	ENSG00000163349	0
FBgn0259168	ENSG00000013441	0
FBgn0259168	ENSG00000179335	0
FBgn0259168	ENSG00000064393	0
FBgn0259168	ENSG00000160396	0
FBgn0033485		
FBgn0053764		
FBgn0052699	ENSG00000153395	1
FBgn0052699	ENSG00000087253	1
FBgn0052699	ENSG00000176454	1
FBgn0266026		
FBgn0033554	ENSG00000181817	0
FBgn0004594		
FBgn0035263		
FBgn0010114		
FBgn0038373	ENSG00000104879	1
FBgn0038373	ENSG00000166165	1
FBgn0038373	ENSG00000223572	1
FBgn0038373	ENSG00000131730	1
FBgn0038373	ENSG00000237289	1
FBgn0035309	ENSG00000105131	0
FBgn0035309	ENSG00000106484	0
FBgn0035309	ENSG00000248487	0
FBgn0035309	ENSG00000127220	0
FBgn0035309	ENSG00000172031	0
FBgn0035309	ENSG00000183569	0
FBgn0035309	ENSG00000120915	0
FBgn0035309	ENSG00000114779	0
FBgn0250785	ENSG00000150054	0
FBgn0250785	ENSG00000161647	0
FBgn0250785	ENSG00000130830	0
FBgn0250785	ENSG00000108852	0
FBgn0250785	ENSG00000105926	0
FBgn0250785	ENSG00000082126	0
FBgn0264897		
FBgn0037594		
FBgn0262403		
FBgn0267256		
FBgn0034281	ENSG00000116151	0
FBgn0027588	ENSG00000164976	0
FBgn0027588	ENSG00000258461	0
FBgn0027588	ENSG00000214013	0
FBgn0027588	ENSG00000090402	0
FBgn0027588	ENSG00000171298	0
FBgn0027588	ENSG00000257335	0
FBgn0027588	ENSG00000257743	0
FBgn0032864	ENSG00000137509	1
FBgn0265531		
FBgn0011933		
FBgn0038028		
FBgn0052453		
FBgn0261283		
FBgn0034224		
FBgn0001986	ENSG00000039123	1
FBgn0086443	ENSG00000134440	1
FBgn0038202	ENSG00000112234	0
FBgn0034808		
FBgn0032585	ENSG00000197993	0
FBgn0003068	ENSG00000049246	0
FBgn0003068	ENSG00000179094	0
FBgn0003068	ENSG00000132326	0
FBgn0267506		
FBgn0002632		
FBgn0051963		
FBgn0085569		
FBgn0050316		
FBgn0032848		
FBgn0019949	ENSG00000136807	1
FBgn0286005		
FBgn0011276		
FBgn0025676		
FBgn0259795	ENSG00000002549	1
FBgn0003256	ENSG00000100030	1
FBgn0010295		
FBgn0053378		
FBgn0053792		
FBgn0033876	ENSG00000105467	0
FBgn0033876	ENSG00000127561	1
FBgn0033876	ENSG00000108639	1
FBgn0033876	ENSG00000100321	1
FBgn0038385	ENSG00000099364	0
FBgn0003944		
FBgn0047351		
FBgn0035469	ENSG00000188186	0
FBgn0085466		
FBgn0039532		
FBgn0027550		
FBgn0050295	ENSG00000127080	0
FBgn0038938		
FBgn0001086	ENSG00000164287	1
FBgn0001086	ENSG00000117399	1
FBgn0011850		
FBgn0001291	ENSG00000130522	0
FBgn0001291	ENSG00000171223	0
FBgn0001291	ENSG00000177606	0
FBgn0004901	ENSG00000128059	1
FBgn0030418		
FBgn0037758	ENSG00000136636	1
FBgn0037758	ENSG00000160410	1
FBgn0030512	ENSG00000172890	1
FBgn0040487		
FBgn0042104	ENSG00000205784	0
FBgn0052850		
FBgn0263590		
FBgn0265426		
FBgn0034186	ENSG00000119041	1
FBgn0045468		
FBgn0265140		
FBgn0259932		
FBgn0267264		
FBgn0039226		
FBgn0036502		
FBgn0261998		
FBgn0262109		
FBgn0082948		
FBgn0041781	ENSG00000112290	1
FBgn0041781	ENSG00000158195	1
FBgn0041781	ENSG00000132970	1
FBgn0030525	ENSG00000143891	1
FBgn0038550		
FBgn0051368	ENSG00000021776	1
FBgn0030658	ENSG00000059769	1
FBgn0030658	ENSG00000244115	0
FBgn0036879		
FBgn0039890	ENSG00000173208	1
FBgn0039890	ENSG00000101986	1
